trip_quarter,taxi_company,city,city_population,total_trips,unique_taxis,total_trip_seconds,avg_trip_seconds,total_trip_miles,avg_trip_miles,total_fare,avg_fare,total_tips,avg_tips,avg_pickup_latitude,avg_pickup_longitude,avg_mph_per_trip,avg_tips_per_hour,avg_fare_per_mile,avg_trip_duration_minutes,avg_total_revenue_per_trip,revenue_rank_within_city,trip_count_rank_within_city,fare_percentile_within_city,total_revenue_per_city,revenue_rank_within_company,total_revenue_per_company,revenue_contribution_percentage,trips_per_population,avg_trips_per_taxi,avg_revenue_trend
2016-04-01 00:00:00+00:00,Nova Taxi Affiliation Llc,Lincoln Park,66959.0,2355,8,1696080,720.203821656052,6205.050000000001,2.6348407643312077,24677.5,10.478768577494673,1461.3200000000006,0.6205180467091286,41.89587026394521,-87.6360042839766,11.821000204899292,3.5764880359378464,6.999039443650667,12.003397027600869,11.099286624203843,30,29,0.25,53602851.56000002,2,226312.25,0.004496220239276723,0.03517077614659717,294.375,900951.4470147066
2017-01-01 00:00:00+00:00,Taxi Affiliation Service Yellow,Ashburn,42752.0,6310,311,10352740,1640.6877971473834,73069.95000000013,11.5800237717908,222777.19000000003,35.30541838351831,31037.869999999966,4.918838351822525,41.78562226561433,-87.74917778621679,26.1566481424284,12.03849467348257,7.8599702840554855,27.344796619123137,40.22425673534085,4,4,0.8382352941176471,2462526.71,23,32045662.05999999,0.04911414033740166,0.14759543413173654,20.289389067524116,50286.19334146342
2019-01-01 00:00:00+00:00,1469 - 64126 Omar Jada,West Ridge,72211.0,7,1,5220,745.7142857142857,18.9,2.6999999999999997,97.5,13.928571428571427,11.6,1.6571428571428573,41.98042872228572,-87.66922506228572,9.681318681318682,7.200941915227631,3.903652668416448,12.428571428571429,15.585714285714285,37,37,0.8367346938775511,1954928.49,23,79868.0,2.996338166557835e-05,9.693813961861766e-05,7.0,64310.56722707427
2017-01-01 00:00:00+00:00,5724 - 75306 KYVI Cab Inc,West Ridge,72211.0,2,1,2220,1110.0,12.5,6.25,37.25,18.625,0.0,0.0,41.957880376999995,-87.684415576,21.026785714285715,0.0,3.0056729264475743,18.5,18.625,64,54,0.9863013698630136,3470739.5300000003,34,87807.25,7.208010933504954e-06,2.7696611319605045e-05,2.0,74998.29466063353
2017-01-01 00:00:00+00:00,4615 - 83503 Tyrone Henderson,Cicero,83886.0,8,1,3660,457.5,14.7,1.8374999999999997,68.75,8.593749999999998,0.0,0.0,41.87305728225,-87.7145945335,13.723191094619667,0.0,15.10351586079058,7.625000000000001,8.593749999999998,32,28,0.13157894736842105,150140.48,31,89497.01000000001,1.3303375883985653e-05,9.536752259018191e-05,8.0,4053.1399527186763
2016-10-01 00:00:00+00:00,Setare Inc,Rogers Park,54402.0,540,9,621060,1150.11111111111,1953.7000000000007,3.6179629629629644,8281.75,15.336574074074075,236.37000000000003,0.4377222222222223,41.98657181767221,-87.67445450652599,14.35519228792521,2.2782255957227564,6.385522653329481,19.168518518518514,15.774296296296306,29,29,0.8333333333333334,3283721.860000001,18,1022776.2,0.0013401817278326585,0.009926105657880225,60.0,55696.65037783378
2016-04-01 00:00:00+00:00,Metro Group,Elmwood Park,24840.0,6,5,2247,374.5,11.5,1.9166666666666665,39.2,6.533333333333333,7.0,1.1666666666666665,41.948653230666665,-87.77627471849999,6.508373205741627,700.0000000000002,2.728021978021978,6.241666666666666,7.7,29,23,0.08108108108108109,236120.59,58,34930.4,7.94700659993774e-06,0.00024154589371980676,1.2,6716.051877022655
2014-04-01 00:00:00+00:00,Chicago Medallion Management,Niles,29876.0,10,2,5880,588.0,30.200000000000003,3.0200000000000005,97.1,9.709999999999997,4.0,0.4000000000000001,41.9837053189,-87.7786136709,16.92316176470588,5.416666666666668,3.138001452570418,9.8,10.11,16,18,0.59375,239453.25000000015,47,741667.0200000001,1.826398804369407e-05,0.0003347168295621904,5.0,6546.244878048783
2023-04-01 00:00:00+00:00,Medallion Leasin,Gage Park,41202.0,232,60,418166,1802.4396551724144,1503.9699999999993,6.482629310344827,5133.35,22.12650862068964,593.04,2.5562068965517244,41.824483349874995,-87.69290411162503,13.357204965807806,76.15444924695429,10.012127660570444,30.04066091954025,24.68271551724138,11,11,0.896551724137931,298166.52999999985,45,6334217.069999999,0.002630044082235553,0.00563079462162031,3.8666666666666667,5735.089267643145
2019-10-01 00:00:00+00:00,Chicago Medallion Management,Auburn Gresham,45842.0,4,2,1500,375.0,11.2,2.8,39.25,9.8125,0.0,0.0,41.726036848999996,-87.64267933325,12.821428571428573,0.0,15.547169811320753,6.25,9.8125,23,18,0.043478260869565216,390891.05000000005,51,1542348.4,1.0645113181077588e-05,8.725622791326731e-05,2.0,4675.324949748744
